seed,P,norm,model,id_acc,ood_acc,ood_auroc
42,10,raw,Baseline_L1Thresh,0.554300,0.509000,0.491073
42,10,raw,Baseline_L2Thresh,0.554300,0.509000,0.490226
42,10,raw,Baseline_CosThresh,0.569600,0.511800,0.355733
42,10,raw,Baseline_LogReg,0.569600,0.523900,0.513557
42,10,log1p,Baseline_L1Thresh,0.554300,0.509000,0.475457
42,10,log1p,Baseline_L2Thresh,0.554300,0.509000,0.449081
42,10,log1p,Baseline_CosThresh,0.568800,0.511800,0.351975
42,10,log1p,Baseline_LogReg,0.569400,0.523900,0.525390
42,10,zscore,Baseline_L1Thresh,0.554300,0.509000,0.500651
42,10,zscore,Baseline_L2Thresh,0.554300,0.509000,0.501373
42,10,zscore,Baseline_CosThresh,0.569500,0.511800,0.381102
42,10,zscore,Baseline_LogReg,0.566300,0.519000,0.510977
42,20,raw,Baseline_L1Thresh,0.580900,0.533800,0.679702
42,20,raw,Baseline_L2Thresh,0.580900,0.533800,0.712416
42,20,raw,Baseline_CosThresh,0.603600,0.542700,0.447087
42,20,raw,Baseline_LogReg,0.604800,0.542700,0.527350
42,20,log1p,Baseline_L1Thresh,0.580900,0.533800,0.641993
42,20,log1p,Baseline_L2Thresh,0.580900,0.533800,0.603621
42,20,log1p,Baseline_CosThresh,0.599200,0.542700,0.519620
42,20,log1p,Baseline_LogReg,0.606100,0.543300,0.532751
42,20,zscore,Baseline_L1Thresh,0.579400,0.533700,0.701714
42,20,zscore,Baseline_L2Thresh,0.579400,0.533700,0.703394
42,20,zscore,Baseline_CosThresh,0.604000,0.542700,0.355117
42,20,zscore,Baseline_LogReg,0.603500,0.545000,0.518556
42,30,raw,Baseline_L1Thresh,0.584800,0.535300,0.819180
42,30,raw,Baseline_L2Thresh,0.584800,0.535300,0.833483
42,30,raw,Baseline_CosThresh,0.634500,0.547600,0.577966
42,30,raw,Baseline_LogReg,0.635300,0.535100,0.599521
42,30,log1p,Baseline_L1Thresh,0.584800,0.535300,0.734823
42,30,log1p,Baseline_L2Thresh,0.584800,0.535300,0.720221
42,30,log1p,Baseline_CosThresh,0.633400,0.547600,0.583939
42,30,log1p,Baseline_LogReg,0.634300,0.535100,0.652641
42,30,zscore,Baseline_L1Thresh,0.585900,0.536000,0.830063
42,30,zscore,Baseline_L2Thresh,0.587700,0.541100,0.824083
42,30,zscore,Baseline_CosThresh,0.634400,0.547600,0.564903
42,30,zscore,Baseline_LogReg,0.634100,0.520700,0.550566
42,40,raw,Baseline_L1Thresh,0.605400,0.518100,0.896195
42,40,raw,Baseline_L2Thresh,0.605300,0.519800,0.893214
42,40,raw,Baseline_CosThresh,0.660500,0.540100,0.562612
42,40,raw,Baseline_LogReg,0.662100,0.547600,0.661994
42,40,log1p,Baseline_L1Thresh,0.607900,0.518400,0.806790
42,40,log1p,Baseline_L2Thresh,0.608400,0.518100,0.812426
42,40,log1p,Baseline_CosThresh,0.660300,0.540100,0.572869
42,40,log1p,Baseline_LogReg,0.662400,0.547600,0.655511
42,40,zscore,Baseline_L1Thresh,0.605500,0.523900,0.906820
42,40,zscore,Baseline_L2Thresh,0.607800,0.525900,0.898204
42,40,zscore,Baseline_CosThresh,0.659100,0.541600,0.718412
42,40,zscore,Baseline_LogReg,0.665700,0.542000,0.611671
42,50,raw,Baseline_L1Thresh,0.617700,0.523700,0.917690
42,50,raw,Baseline_L2Thresh,0.617400,0.525400,0.900360
42,50,raw,Baseline_CosThresh,0.687100,0.564000,0.530590
42,50,raw,Baseline_LogReg,0.675500,0.568900,0.659528
42,50,log1p,Baseline_L1Thresh,0.618900,0.522300,0.864038
42,50,log1p,Baseline_L2Thresh,0.621000,0.523700,0.812463
42,50,log1p,Baseline_CosThresh,0.687400,0.562700,0.534694
42,50,log1p,Baseline_LogReg,0.680600,0.559300,0.623370
42,50,zscore,Baseline_L1Thresh,0.623600,0.527000,0.921787
42,50,zscore,Baseline_L2Thresh,0.621500,0.520400,0.923836
42,50,zscore,Baseline_CosThresh,0.680300,0.547600,0.541521
42,50,zscore,Baseline_LogReg,0.682700,0.557800,0.621322
42,60,raw,Baseline_L1Thresh,0.636500,0.518400,0.924722
42,60,raw,Baseline_L2Thresh,0.636500,0.522500,0.889704
42,60,raw,Baseline_CosThresh,0.702200,0.609900,0.491983
42,60,raw,Baseline_LogReg,0.697300,0.577100,0.615180
42,60,log1p,Baseline_L1Thresh,0.635900,0.518500,0.895490
42,60,log1p,Baseline_L2Thresh,0.639700,0.518500,0.800551
42,60,log1p,Baseline_CosThresh,0.704400,0.597900,0.506133
42,60,log1p,Baseline_LogReg,0.699200,0.581000,0.606284
42,60,zscore,Baseline_L1Thresh,0.632000,0.523500,0.927391
42,60,zscore,Baseline_L2Thresh,0.629800,0.525500,0.923241
42,60,zscore,Baseline_CosThresh,0.701600,0.550500,0.578681
42,60,zscore,Baseline_LogReg,0.709500,0.582300,0.628687
42,70,raw,Baseline_L1Thresh,0.637300,0.510100,0.929256
42,70,raw,Baseline_L2Thresh,0.641300,0.514800,0.886715
42,70,raw,Baseline_CosThresh,0.717200,0.629700,0.449947
42,70,raw,Baseline_LogReg,0.721500,0.606200,0.650416
42,70,log1p,Baseline_L1Thresh,0.645800,0.515500,0.908009
42,70,log1p,Baseline_L2Thresh,0.639700,0.510100,0.796970
42,70,log1p,Baseline_CosThresh,0.716600,0.599900,0.468506
42,70,log1p,Baseline_LogReg,0.724100,0.587600,0.666537
42,70,zscore,Baseline_L1Thresh,0.638100,0.512500,0.931132
42,70,zscore,Baseline_L2Thresh,0.641700,0.515400,0.926900
42,70,zscore,Baseline_CosThresh,0.712700,0.571200,0.589500
42,70,zscore,Baseline_LogReg,0.718500,0.597900,0.628003
42,80,raw,Baseline_L1Thresh,0.644000,0.512900,0.932266
42,80,raw,Baseline_L2Thresh,0.649600,0.515900,0.888572
42,80,raw,Baseline_CosThresh,0.726000,0.641000,0.440756
42,80,raw,Baseline_LogReg,0.742200,0.619600,0.654512
42,80,log1p,Baseline_L1Thresh,0.645800,0.512900,0.916875
42,80,log1p,Baseline_L2Thresh,0.648900,0.513100,0.770837
42,80,log1p,Baseline_CosThresh,0.725300,0.640900,0.449520
42,80,log1p,Baseline_LogReg,0.740700,0.619200,0.638011
42,80,zscore,Baseline_L1Thresh,0.649200,0.518100,0.932704
42,80,zscore,Baseline_L2Thresh,0.648600,0.513000,0.924358
42,80,zscore,Baseline_CosThresh,0.723000,0.563900,0.523271
42,80,zscore,Baseline_LogReg,0.739200,0.610700,0.648149
42,90,raw,Baseline_L1Thresh,0.654400,0.518900,0.931651
42,90,raw,Baseline_L2Thresh,0.656400,0.515900,0.893151
42,90,raw,Baseline_CosThresh,0.738900,0.652700,0.432884
42,90,raw,Baseline_LogReg,0.743000,0.621300,0.652797
42,90,log1p,Baseline_L1Thresh,0.657100,0.517800,0.914678
42,90,log1p,Baseline_L2Thresh,0.660100,0.519000,0.729742
42,90,log1p,Baseline_CosThresh,0.737900,0.652800,0.428335
