P,norm,model,id_acc_mean,id_acc_std,ood_acc_mean,ood_acc_std,ood_auroc_mean,ood_auroc_std,n
10,log1p,Baseline_CosThresh,0.566800,0.005993,0.514380,0.002918,0.357771,0.005831,5
10,log1p,Baseline_L1Thresh,0.553240,0.006643,0.509780,0.002893,0.442723,0.032716,5
10,log1p,Baseline_L2Thresh,0.553240,0.006643,0.509780,0.002893,0.429056,0.019055,5
10,log1p,Baseline_LogReg,0.567400,0.006012,0.527740,0.010140,0.524828,0.016181,5
10,raw,Baseline_CosThresh,0.567520,0.005937,0.514380,0.002918,0.355714,0.003771,5
10,raw,Baseline_L1Thresh,0.553260,0.006629,0.509780,0.002893,0.465818,0.030021,5
10,raw,Baseline_L2Thresh,0.553260,0.006629,0.509780,0.002893,0.471126,0.025325,5
10,raw,Baseline_LogReg,0.566300,0.005424,0.525400,0.004642,0.517480,0.003575,5
10,zscore,Baseline_CosThresh,0.566400,0.004750,0.513680,0.001846,0.357857,0.041862,5
10,zscore,Baseline_L1Thresh,0.553260,0.006629,0.509780,0.002893,0.469236,0.032365,5
10,zscore,Baseline_L2Thresh,0.553260,0.006629,0.509780,0.002893,0.475301,0.031302,5
10,zscore,Baseline_LogReg,0.566160,0.005413,0.528760,0.009311,0.524844,0.010706,5
20,log1p,Baseline_CosThresh,0.595900,0.005642,0.543660,0.004869,0.473285,0.027873,5
20,log1p,Baseline_L1Thresh,0.576640,0.004511,0.534240,0.004197,0.576216,0.039382,5
20,log1p,Baseline_L2Thresh,0.576640,0.004511,0.534240,0.004197,0.552904,0.049651,5
20,log1p,Baseline_LogReg,0.604020,0.004896,0.549220,0.007316,0.521114,0.017376,5
20,raw,Baseline_CosThresh,0.599920,0.006597,0.543660,0.004869,0.464660,0.011019,5
20,raw,Baseline_L1Thresh,0.576660,0.004475,0.534240,0.004197,0.632993,0.046946,5
20,raw,Baseline_L2Thresh,0.576660,0.004475,0.534240,0.004197,0.674782,0.050844,5
20,raw,Baseline_LogReg,0.604620,0.005867,0.543980,0.005016,0.527682,0.003992,5
20,zscore,Baseline_CosThresh,0.602320,0.005268,0.543660,0.004869,0.389025,0.019177,5
20,zscore,Baseline_L1Thresh,0.576480,0.004573,0.532260,0.005446,0.652791,0.044972,5
20,zscore,Baseline_L2Thresh,0.576480,0.004573,0.532260,0.005446,0.671313,0.040891,5
20,zscore,Baseline_LogReg,0.602880,0.004952,0.545100,0.005431,0.501783,0.015175,5
30,log1p,Baseline_CosThresh,0.633300,0.003793,0.550220,0.007138,0.584203,0.009582,5
30,log1p,Baseline_L1Thresh,0.586580,0.008171,0.528500,0.012348,0.680522,0.058446,5
30,log1p,Baseline_L2Thresh,0.586980,0.008536,0.528500,0.012348,0.678789,0.058915,5
30,log1p,Baseline_LogReg,0.636100,0.004266,0.541540,0.009469,0.650498,0.006494,5
30,raw,Baseline_CosThresh,0.633640,0.004013,0.549720,0.007390,0.574438,0.008713,5
