seed,P,norm,model,id_acc,ood_acc,ood_auroc
42,10,raw,DecisionTree,0.578700,0.533700,0.494750
42,10,raw,RandomForest,0.579600,0.533700,0.584742
42,10,raw,MLP,0.577700,0.544800,0.507081
42,10,raw,Transformer,0.582400,0.528500,0.478914
42,10,log1p,DecisionTree,0.578100,0.533700,0.494705
42,10,log1p,RandomForest,0.579100,0.533700,0.492916
42,10,log1p,MLP,0.576900,0.528500,0.533729
42,10,log1p,Transformer,0.573600,0.532000,0.551610
42,10,zscore,DecisionTree,0.578400,0.533700,0.494567
42,10,zscore,RandomForest,0.579000,0.533700,0.493511
42,10,zscore,MLP,0.579800,0.538300,0.507142
42,10,zscore,Transformer,0.576300,0.514300,0.568157
42,20,raw,DecisionTree,0.626600,0.573600,0.555642
42,20,raw,RandomForest,0.638700,0.578300,0.541250
42,20,raw,MLP,0.639000,0.581400,0.555922
42,20,raw,Transformer,0.623300,0.590900,0.506553
42,20,log1p,DecisionTree,0.626200,0.573200,0.556917
42,20,log1p,RandomForest,0.638200,0.578300,0.548788
42,20,log1p,MLP,0.639400,0.581000,0.560948
42,20,log1p,Transformer,0.623000,0.587000,0.504138
42,20,zscore,DecisionTree,0.626700,0.573600,0.555095
42,20,zscore,RandomForest,0.639000,0.578300,0.548815
42,20,zscore,MLP,0.637800,0.581400,0.553140
42,20,zscore,Transformer,0.618100,0.575400,0.463679
42,30,raw,DecisionTree,0.666500,0.589600,0.595199
42,30,raw,RandomForest,0.671200,0.602400,0.524934
42,30,raw,MLP,0.688200,0.580500,0.603384
42,30,raw,Transformer,0.656500,0.548300,0.552983
42,30,log1p,DecisionTree,0.666800,0.588200,0.593905
42,30,log1p,RandomForest,0.673700,0.603100,0.527023
42,30,log1p,MLP,0.685600,0.585500,0.639113
42,30,log1p,Transformer,0.655700,0.553400,0.548735
42,30,zscore,DecisionTree,0.665200,0.588000,0.593238
42,30,zscore,RandomForest,0.671600,0.604200,0.526491
42,30,zscore,MLP,0.683800,0.593200,0.643455
42,30,zscore,Transformer,0.666000,0.581000,0.571675
42,40,raw,DecisionTree,0.671500,0.590500,0.580398
42,40,raw,RandomForest,0.697600,0.622900,0.538998
42,40,raw,MLP,0.720500,0.614700,0.627434
42,40,raw,Transformer,0.693800,0.583500,0.616488
42,40,log1p,DecisionTree,0.671200,0.596300,0.601254
42,40,log1p,RandomForest,0.697000,0.623400,0.544189
42,40,log1p,MLP,0.717800,0.614400,0.637062
42,40,log1p,Transformer,0.693500,0.581500,0.603764
42,40,zscore,DecisionTree,0.667000,0.597000,0.585577
42,40,zscore,RandomForest,0.696000,0.624800,0.540766
42,40,zscore,MLP,0.715000,0.615500,0.641224
42,40,zscore,Transformer,0.697000,0.592800,0.597383
42,50,raw,DecisionTree,0.684500,0.593200,0.593473
42,50,raw,RandomForest,0.736500,0.642100,0.569865
42,50,raw,MLP,0.763200,0.628600,0.650455
42,50,raw,Transformer,0.720400,0.601400,0.654140
42,50,log1p,DecisionTree,0.673700,0.592800,0.605916
42,50,log1p,RandomForest,0.738400,0.639500,0.572043
42,50,log1p,MLP,0.762000,0.630700,0.668871
42,50,log1p,Transformer,0.714900,0.589900,0.679084
