P,norm,model,id_acc_mean,id_acc_std,ood_acc_mean,ood_acc_std,ood_auroc_mean,ood_auroc_std,n
10,log1p,DecisionTree,0.581240,0.003642,0.536420,0.008681,0.503712,0.011863,5
10,log1p,MLP,0.578960,0.006712,0.536200,0.011134,0.553059,0.062902,5
10,log1p,RandomForest,0.582580,0.003388,0.536440,0.008839,0.521646,0.043992,5
10,log1p,Transformer,0.579020,0.005600,0.539980,0.008426,0.497231,0.045258,5
10,raw,DecisionTree,0.581320,0.003549,0.536420,0.008681,0.503815,0.011861,5
10,raw,MLP,0.579780,0.007066,0.536980,0.009247,0.544234,0.045169,5
10,raw,RandomForest,0.582820,0.003245,0.536440,0.008839,0.503177,0.060912,5
10,raw,Transformer,0.578380,0.004532,0.535380,0.012973,0.486245,0.015834,5
10,zscore,DecisionTree,0.581260,0.003647,0.536420,0.008681,0.503710,0.011992,5
10,zscore,MLP,0.580960,0.005251,0.534960,0.008078,0.540830,0.045525,5
10,zscore,RandomForest,0.582640,0.003457,0.536440,0.008839,0.465596,0.056607,5
10,zscore,Transformer,0.579040,0.007657,0.533840,0.015445,0.533840,0.047546,5
20,log1p,DecisionTree,0.628160,0.006649,0.571940,0.007326,0.553396,0.016081,5
20,log1p,MLP,0.639580,0.004754,0.572980,0.007803,0.561921,0.009190,5
20,log1p,RandomForest,0.636880,0.004749,0.573900,0.005433,0.549135,0.014330,5
20,log1p,Transformer,0.623240,0.006373,0.567620,0.018038,0.502393,0.013376,5
20,raw,DecisionTree,0.628060,0.006313,0.570520,0.007561,0.555065,0.016914,5
20,raw,MLP,0.638740,0.005758,0.574000,0.007060,0.566517,0.010711,5
20,raw,RandomForest,0.636640,0.004249,0.573900,0.005433,0.547677,0.012474,5
20,raw,Transformer,0.631940,0.008507,0.578860,0.010255,0.496665,0.015705,5
20,zscore,DecisionTree,0.628280,0.006148,0.571020,0.006861,0.551942,0.013215,5
20,zscore,MLP,0.638680,0.001105,0.574960,0.008266,0.556324,0.013565,5
20,zscore,RandomForest,0.636840,0.005041,0.573900,0.005433,0.547453,0.008236,5
20,zscore,Transformer,0.626440,0.008358,0.566700,0.009723,0.504306,0.031835,5
30,log1p,DecisionTree,0.655660,0.008950,0.584180,0.005280,0.597498,0.011932,5
30,log1p,MLP,0.689720,0.003976,0.583280,0.003695,0.632415,0.010366,5
30,log1p,RandomForest,0.673900,0.008066,0.600140,0.005901,0.533423,0.021897,5
30,log1p,Transformer,0.663080,0.015375,0.561540,0.013179,0.604222,0.061080,5
30,raw,DecisionTree,0.655940,0.009785,0.585500,0.005458,0.592850,0.011985,5
30,raw,MLP,0.688220,0.002619,0.583020,0.004914,0.630321,0.023600,5
30,raw,RandomForest,0.672940,0.008436,0.599240,0.006006,0.532135,0.021355,5
30,raw,Transformer,0.665320,0.008438,0.562400,0.008616,0.596173,0.029068,5
30,zscore,DecisionTree,0.654860,0.008969,0.585000,0.003741,0.593498,0.016175,5
30,zscore,MLP,0.684940,0.006842,0.586860,0.004792,0.644145,0.019988,5
30,zscore,RandomForest,0.673100,0.008646,0.600420,0.006192,0.533286,0.021011,5
30,zscore,Transformer,0.669220,0.011941,0.577560,0.013395,0.596192,0.015493,5
40,log1p,DecisionTree,0.665460,0.004667,0.596980,0.005634,0.596712,0.015283,5
40,log1p,MLP,0.717400,0.008666,0.611320,0.006101,0.655124,0.014022,5
40,log1p,RandomForest,0.697420,0.003796,0.622820,0.001622,0.547710,0.007145,5
40,log1p,Transformer,0.690100,0.002580,0.578560,0.005794,0.620084,0.018356,5
40,raw,DecisionTree,0.662680,0.005700,0.596480,0.006423,0.587390,0.010573,5
40,raw,MLP,0.719240,0.005981,0.610880,0.004993,0.641406,0.021731,5
40,raw,RandomForest,0.695500,0.003206,0.623100,0.000846,0.545216,0.008386,5
40,raw,Transformer,0.693660,0.002578,0.585760,0.005246,0.599858,0.037267,5
40,zscore,DecisionTree,0.662660,0.003584,0.596280,0.004321,0.590297,0.017884,5
40,zscore,MLP,0.714060,0.002452,0.611480,0.007812,0.650436,0.015151,5
40,zscore,RandomForest,0.695820,0.003165,0.623300,0.001409,0.545237,0.007600,5
40,zscore,Transformer,0.693120,0.005806,0.586340,0.006478,0.588617,0.031863,5
50,log1p,DecisionTree,0.675560,0.005105,0.600140,0.004245,0.600062,0.009925,5
50,log1p,MLP,0.758780,0.003171,0.631880,0.002595,0.657386,0.012058,5
50,log1p,RandomForest,0.730480,0.004482,0.638760,0.002719,0.563674,0.007381,5
50,log1p,Transformer,0.722220,0.008889,0.599760,0.015667,0.669346,0.023241,5
50,raw,DecisionTree,0.677160,0.004542,0.599640,0.007757,0.592607,0.007813,5
50,raw,MLP,0.760400,0.002740,0.632140,0.004245,0.650993,0.009693,5
50,raw,RandomForest,0.728640,0.004621,0.639120,0.003772,0.561230,0.008253,5
50,raw,Transformer,0.721640,0.002802,0.601200,0.003356,0.649797,0.008782,5
50,zscore,DecisionTree,0.679760,0.003502,0.600060,0.006799,0.598364,0.010419,5
50,zscore,MLP,0.755880,0.004786,0.631440,0.005732,0.663088,0.003893,5
50,zscore,RandomForest,0.729360,0.004471,0.637000,0.002442,0.562719,0.006661,5
50,zscore,Transformer,0.722060,0.004726,0.600880,0.005406,0.652197,0.013792,5
60,log1p,DecisionTree,0.681200,0.004695,0.602560,0.003458,0.605174,0.010576,5
60,log1p,MLP,0.780920,0.005068,0.648240,0.004488,0.659085,0.004866,5
60,log1p,RandomForest,0.745520,0.006330,0.644340,0.002495,0.564351,0.005067,5
60,log1p,Transformer,0.734540,0.004794,0.612620,0.009922,0.685965,0.011843,5
60,raw,DecisionTree,0.683000,0.006005,0.601440,0.005857,0.598466,0.006067,5
60,raw,MLP,0.780340,0.005537,0.648340,0.004238,0.657336,0.004503,5
60,raw,RandomForest,0.743980,0.006082,0.645420,0.002194,0.561075,0.003679,5
60,raw,Transformer,0.738360,0.004736,0.611480,0.008647,0.667991,0.017033,5
